gram,TF,DF,TF_IDF
元惟,22,22,5.395748613
年起,51,46,5.369532533
現股,55,48,5.383913949
股當,89,72,5.275222274
當沖,144,50,6.1491526
開放,88,71,5.284330333
檔台,73,58,5.39016314
股日,141,126,4.867252704
量可,30,28,5.446583348
望增,18,16,5.506909275
增加,1308,784,3.094030905
至億,531,468,3.634453368
元新,111,97,5.052621859
新聞,858,672,3.219732426
來源,468,458,3.615367592
工商,546,523,3.465915757
時報,548,524,3.464286723
記者,818,794,2.919276961
台北,1526,1175,2.409206176
報導,874,716,3.117736539
頭條,157,139,4.803112713
齊發,14,14,5.364859185
新年,67,60,5.278435195
迎接,45,42,5.366557395
展望,755,600,3.365135098
望月,12,12,5.336701098
行情,2251,1236,2.410758173
情有,126,126,4.791755156
有元,12,11,5.415270365
元月,285,181,4.796135518
效應,354,302,4.137805376
檯面,12,11,5.415270365
法人,3749,1735,1.859817119
人看,119,111,4.922690622
生技,730,456,3.812900441
節能,34,28,5.566102543
環保,65,56,5.338136697
汽車,982,613,3.427039287
車零,194,167,4.679188914
組件,457,388,3.868829888
工業,716,556,3.472654001
業電,82,69,5.265448652
電腦,753,684,3.143527016
導體,1388,954,2.760342944
體及,41,40,5.340146865
及蘋,56,52,5.303755367
蘋概,1269,770,3.116261288
概股,1025,668,3.293353011
股等,208,189,4.543926714
等大,101,93,5.039539783
題材,1279,855,2.932088563
葡萄,38,32,5.522706037
金可,67,58,5.32004422
大億,11,11,5.316849281
矽創,28,27,5.419352621
創新,833,626,3.329956477
新日,85,76,5.170716416
日興,27,23,5.553685707
昱晶,80,75,5.140942743
等檔,93,74,5.274048902
材股,282,247,4.323908497
股可,281,255,4.274233824
望成,61,59,5.222664079
成為,731,586,3.392579962
為元,234,202,4.51664243
亮點,113,99,5.038428433
點股,242,237,4.30138742
股台,366,326,4.036339613
股去,13,13,5.352440986
年下,101,82,5.203783317
下跌,2528,1322,2.310057085
跌點,1174,753,3.130056204
點封,16,14,5.509826598
交易,2101,1385,2.180506182
日周,39,37,5.383484863
周量,25,15,5.922485026
元資,53,50,5.304010572
資金,2017,1088,2.622790063
金明,19,19,5.394173631
明顯,781,645,3.255632552
退場,60,48,5.458156078
場觀,125,119,4.863283161
觀望,478,375,3.94391256
副總,106,100,4.979391085
年度,222,157,4.852257399
度開,11,11,5.316849281
金會,25,22,5.523632255
會展,19,17,5.504248094
展開,286,252,4.301491542
開新,18,18,5.391546398
佈局,119,97,5.102767724
通常,42,37,5.450355352
作夢,24,19,5.634340067
及元,69,62,5.261868068
此大,17,17,5.387569862
盤在,202,186,4.549486718
在元,416,232,4.633978628
月上,89,69,5.329737047
漲機,155,112,5.093987476
機率,365,264,4.361348455
高不,109,99,5.01259837
統大,105,83,5.217095975
大選,240,171,4.775958484
日登,45,44,5.312953518
登場,210,182,4.604070657
場今,45,43,5.339443778
年元,52,38,5.611615115
力道,602,504,3.565984048
恐怕,58,50,5.380237536
怕會,11,11,5.316849281
會受,32,31,5.397474847
受此,37,34,5.430293964
干擾,131,124,4.83953747
最好,49,46,5.335077
挑選,43,42,5.3266218
的個,340,279,4.238866181
個股,2551,1375,2.236892838
股比,52,47,5.360889273
比較,97,84,5.142127735
能在,73,72,5.121284231
在選,68,64,5.211060972
選前,83,61,5.431188359
發揮,75,69,5.195420237
體蘋,41,38,5.39835027
族群,2656,1305,2.346180372
報年,18,18,5.391546398
年月,1848,1350,2.199824095
解盤,24,24,5.39284945
盤新,126,101,5.089543178
年盤,12,11,5.415270365
盤日,287,274,4.177683971
日多,83,75,5.169255312
多方,1324,785,3.095717667
守月,33,31,5.426268191
月線,1105,661,3.338652008
線挑,17,17,5.387569862
挑戰,804,598,3.394495776
戰半,19,15,5.628115813
年線,966,512,3.732502182
鉅亨,120,116,4.869587458
北台,12,12,5.336701098
股本,168,148,4.759432672
本周,633,416,3.903357146
聖誕,39,35,5.446016787
誕節,49,41,5.469516791
接連,58,56,5.244227074
元旦,16,13,5.580765502
連假,98,76,5.279812197
單日,289,215,4.545802154
值創,36,27,5.661058453
創下,827,616,3.354687533
下年,138,120,4.919349132
年新,607,451,3.751927193
新低,331,259,4.338587541
時指,56,48,5.399288171
指數,13769,3720,0.387320796
數也,153,143,4.747028555
也一,60,55,5.293907742
一度,1740,1158,2.468867769
度回,98,94,5.003679372
回測,253,224,4.409305024
測月,39,36,5.41431652
支撐,1118,858,2.884215148
過月,39,38,5.353475483
線下,106,100,4.979391085
下方,130,117,4.91295379
低接,88,79,5.147798374
接買,59,57,5.237016756
買盤,1013,741,3.108733731
盤強,89,84,5.077770082
強勁,679,556,3.451895756
尤其,289,266,4.225865763
周四,233,169,4.775000168
盤更,36,35,5.372952219
演出,78,74,5.138331137
急拉,94,77,5.230988189
鎖定,82,77,5.126629798
金融,3190,1809,1.749608771
股拉,131,126,4.817875988
拉抬,405,347,3.988343834
意味,119,108,4.959287242
顯示,1650,1350,2.174448291
示月,75,73,5.12505665
線點,239,182,4.681925322
點已,33,31,5.426268191
已是,26,24,5.471610025
是短,24,24,5.39284945
短線,1813,1164,2.469701645
線多,63,59,5.248935027
方力,81,75,5.150496547
力守,234,200,4.531202071
防線,19,16,5.564245258
資回,75,71,5.15974286
回流,222,182,4.637516121
擴大,514,441,3.716435623
才有,92,82,5.133575185
足夠,14,14,5.364859185
動能,655,500,3.613764018
能再,42,40,5.361536676
繼續,273,233,4.393331022
續上,248,224,4.398073108
上攻,807,635,3.294039593
攻半,13,12,5.42592611
點反,59,51,5.370861875
反壓,343,274,4.271210533
壓區,25,23,5.477339651
理財,214,207,4.42926025
分析,2426,1758,1.757878184
示台,421,385,3.843379174
周指,105,96,5.026177535
度跌,142,127,4.861173973
跌破,551,427,3.799084828
破月,117,108,4.947417546
線不,66,64,5.187208872
盤相,34,32,5.419297152
相當,306,260,4.290713678
再加,146,139,4.755701081
上周,807,376,4.183188846
四的,15,15,5.3745581
盤又,16,14,5.509826598
現急,18,15,5.570121685
線是,22,22,5.395748613
是多,35,33,5.412248666
要的,79,77,5.098150446
現跌,62,58,5.256636256
都會,44,44,5.293409829
速站,12,11,5.415270365
站回,310,267,4.25737348
外外,37,37,5.335982387
四在,25,23,5.477339651
在台,826,710,3.112647491
台指,2250,701,3.482595809
期多,102,98,4.978292192
多單,2233,773,3.295299896
部位,1094,552,3.651167442
重新,257,220,4.444815753
轉賣,37,34,5.430293964
為買,90,81,5.132784411
單口,376,212,4.717737131
口數,65,49,5.50126302
數回,64,63,5.181815403
回升,420,338,4.047157047
升到,77,74,5.128374831
到萬,89,76,5.205967365
萬口,395,312,4.142411927
口以,56,51,5.326931297
上顯,27,25,5.465640743
示外,98,95,4.989932439
資對,92,80,5.165358446
於台,204,181,4.594543443
股後,235,199,4.541031344
後市,662,551,3.456965879
市仍,109,103,4.960348468
仍是,280,245,4.332206172
是偏,36,33,5.438276241
偏多,1126,694,3.259680626
多看,56,52,5.303755367
看待,213,190,4.550426374
預料,260,240,4.32233871
假過,16,15,5.443784059
過後,364,299,4.167350714
後外,46,44,5.332067641
資資,49,45,5.360755777
望逐,36,35,5.372952219
回到,175,162,4.658294212
到台,56,55,5.236811304
股而,42,40,5.361536676
殺低,53,48,5.352308624
率不,99,83,5.172968248
不大,169,141,4.831159188
將有,280,248,4.313985885
有利,894,648,3.296752106
利於,216,186,4.589543246
股再,205,186,4.55829911
線反,200,167,4.698015339
泰證,159,155,4.659894674
證期,143,139,4.742149718
期投,49,46,5.335077
協理,165,159,4.647707522
儀表,57,55,5.251458945
從月,68,62,5.250116411
線來,62,56,5.299192212
來看,1241,924,2.784752654
月月,54,43,5.498791667
線上,572,414,3.866033372
下影,171,144,4.809245895
影線,244,205,4.519318026
線都,22,22,5.395748613
場呈,19,18,5.447681263
現多,82,77,5.126629798
多空,349,299,4.14596342
空激,12,11,5.415270365
激戰,17,16,5.446295215
較不,42,36,5.481569981
不利,177,141,4.861222627
利的,84,76,5.16164444
的是,258,221,4.440294696
是月,44,42,5.346816524
月指,39,34,5.478636029
指標,1334,954,2.748859053
標仍,38,37,5.360046178
仍呈,45,45,5.287058596
現下,93,84,5.11064114
下彎,145,129,4.853722791
代表,257,220,4.444815753
長線,159,136,4.841710948
線未,32,29,5.470033249
轉強,466,341,4.083496417
強不,20,20,5.395646762
櫃買,813,616,3.348337858
線已,71,70,5.134589473
已經,376,295,4.204747174
經連,34,33,5.385466565
四個,62,55,5.321043619
月收,34,32,5.419297152
收紅,757,547,3.521931806
紅月,17,14,5.575643291
領先,230,204,4.49222012
交叉,362,320,4.059644121
往上,99,90,5.067628483
後續,711,555,3.472923794
續量,28,24,5.544530927
量能,1262,867,2.903116039
能維,66,63,5.20649293
維持,1784,1147,2.492804763
則可,41,40,5.340146865
可偏,36,32,5.472438569
外下,15,15,5.3745581
下周,235,172,4.754502968
周也,11,11,5.316849281
也進,26,26,5.387660465
進入,778,602,3.37082093
入台,54,49,5.34378946
月營,887,486,3.787152349
營收,2291,941,2.931347989
公布,1063,721,3.17281967
布期,33,32,5.391542205
基本,790,583,3.430865669
本上,34,33,5.385466565
上月,178,160,4.686433757
為有,49,45,5.360755777
假期,133,104,5.08837926
期影,22,21,5.443073483
單月,161,120,5.024236811
比月,20,17,5.558055931
月再,26,25,5.428795525
再成,18,17,5.447530344
長的,112,102,4.992524623
的機,225,198,4.522925842
大重,17,15,5.508811852
重點,291,253,4.304901107
點觀,28,27,5.419352621
觀察,1664,1085,2.57694461
股網,11,11,5.316849281
網通,310,245,4.387759
塑化,919,697,3.181276064
營建,321,253,4.357859046
建等,19,19,5.394173631
等產,57,53,5.295792207
廠商,184,147,4.827346379
季營,377,274,4.320802265
收與,35,34,5.379264882
與第,18,15,5.570121685
季持,23,22,5.440217856
持穩,232,189,4.608872471
僅小,74,69,5.184885877
小幅,454,387,3.869904951
幅下,70,65,5.215064475
於多,118,104,5.003726967
為台,703,541,3.511177715
股上,952,692,3.206014222
攻的,40,40,5.318228858
的另,13,13,5.352440986
另一,228,213,4.424192228
一項,30,26,5.526308711
盤前,360,330,4.009373075
焦點,593,526,3.489802161
點新,68,65,5.191988606
年開,115,98,5.064497537
開紅,176,118,5.108538419
紅盤,427,298,4.25376149
前行,34,34,5.352645999
期待,260,230,4.385459048
中央,708,686,3.116945188
日電,704,700,3.081194803
電雖,23,23,5.394624334
然美,31,29,5.439926319
道瓊,1013,671,3.281358225
數上,1417,927,2.818089095
上週,744,413,3.98757774
週五,755,438,3.895161796
大跌,549,415,3.843776195
點但,210,196,4.497146081
但今,46,45,5.306079558
今天,1889,895,2.968090865
天是,12,12,5.336701098
股年,61,57,5.264380399
盤第,13,12,5.42592611
第個,63,48,5.499786101
其是,99,95,4.997287686
將屆,12,12,5.336701098
前政,20,16,5.618639609
政策,924,611,3.409970546
多台,76,72,5.152567818
仍受,34,34,5.352645999
第二,557,414,3.854158859
場電,18,18,5.391546398
電視,96,53,5.730843955
選人,51,40,5.533876195
財經,214,197,4.500877866
議題,124,111,4.951300731
網路,214,162,4.783800551
科技,1343,759,3.160750149
調整,448,334,4.097342995
業政,12,12,5.336701098
都在,97,89,5.067127745
內容,448,426,3.711537523
中出,12,12,5.336701098
傳金,17,12,5.724964686
融資,343,248,4.424284815
資產,247,185,4.677652245
管理,153,119,5.001132142
執行,154,126,4.926449477
行長,74,69,5.184885877
升指,171,161,4.652563963
年一,23,22,5.440217856
整年,20,18,5.50093612
股被,46,46,5.280662688
數下,503,323,4.20761213
跌多,74,72,5.131852703
多點,30,28,5.446583348
點期,27,26,5.424226499
期間,288,225,4.475522462
歷經,70,66,5.196199828
經大,14,14,5.364859185
跌到,50,44,5.40458109
到點,556,461,3.678458711
頭的,49,45,5.360755777
狀況,265,227,4.415601781
避免,72,67,5.199883605
拖累,436,361,3.961239198
選情,15,13,5.509797617
前兩,48,43,5.395850038
兩週,67,56,5.363113506
政黨,30,26,5.526308711
可能,1220,848,2.932034374
能會,112,95,5.086674006
會大,48,46,5.317318155
大力,35,35,5.347237286
力拉,31,29,5.439926319
升分,20,20,5.395646762
然市,24,24,5.39284945
場仍,122,119,4.84671551
仍有,760,607,3.348073292
有人,32,25,5.631510179
看空,22,21,5.443073483
空台,18,18,5.391546398
股但,41,41,5.312127723
月底,290,233,4.426874423
底台,16,15,5.443784059
股大,819,666,3.218437478
盤最,60,56,5.272167771
最高,1184,948,2.725499737
點點,382,315,4.110785663
點之,463,390,3.866633226
之際,147,137,4.780092225
多億,29,26,5.49346201
元跌,143,89,5.353101007
最低,452,405,3.795708669
低跌,39,37,5.383484863
資大,141,127,4.856440882
大降,14,13,5.433931637
降至,451,285,4.352374262
近億,64,62,5.201315155
很多,44,41,5.374481402
多投,28,27,5.419352621
早已,14,13,5.433931637
此對,22,22,5.395748613
股看,61,56,5.285790752
看法,304,268,4.241368502
法不,26,23,5.516246957
不必,42,41,5.333405304
悲觀,185,173,4.599743821
觀台,29,27,5.453102282
年底,445,337,4.079900343
收在,1684,1000,2.729850459
在點,2049,1072,2.654696103
點上,1202,673,3.336946564
點成,890,841,2.847973376
值新,199,194,4.480210449
新台,1329,955,2.745896122
台幣,1583,1069,2.590809151
店頭,205,170,4.687669538
土洋,32,29,5.470033249
買超,5812,1873,1.778882444
上櫃,822,393,4.116568851
櫃股,667,270,4.644590161
股元,91,87,5.049290544
點櫃,27,25,5.465640743
亮麗,76,71,5.170066305
數站,82,77,5.126629798
站上,815,611,3.363095169
線月,70,63,5.253680442
線拉,16,16,5.382005389
拉出,115,108,4.93534319
連紅,197,149,4.851849384
將再,70,68,5.159313197
線關,89,82,5.108636728
關卡,997,749,3.084719233
卡而,11,11,5.316849281
兩大,166,146,4.770784689
要買,13,12,5.42592611
超股,50,46,5.352477056
股包,217,183,4.615865875
包含,151,132,4.849018611
中美,709,486,3.693836391
頎邦,60,38,5.74002075
勢受,43,41,5.354182189
到市,32,32,5.362933126
關注,465,414,3.773489778
周加,35,34,5.379264882
前十,140,128,4.840957608
十大,287,275,4.172213149
大個,58,47,5.454496778
股依,444,171,5.153450004
依序,93,76,5.239668311
為中,247,222,4.409014272
晶元,26,24,5.471610025
元太,74,57,5.422958184
燿科,45,42,5.366557395
科合,26,23,5.516246957
合晶,166,138,4.849592872
晶台,54,50,5.319815644
台半,35,33,5.412248666
光環,38,35,5.422305849
神盾,84,54,5.595665482
康和,35,34,5.379264882
和證,50,44,5.40458109
中前,13,11,5.505808987
大中,111,95,5.080176334
周買,52,30,5.890446379
各為,21,17,5.609237928
為張,18,11,5.873903675
及張,17,11,5.80925014
張較,23,18,5.646042852
低的,81,73,5.184637517
張其,27,23,5.553685707
晶等,46,43,5.358653204
張到,17,13,5.647429583
之間,136,123,4.875812122
於投,41,41,5.312127723
投信,2662,1432,2.168220326
有結,11,11,5.316849281
結帳,19,19,5.394173631
超前,247,77,5.969187524
熱門,199,176,4.619715851
股則,417,340,4.034404
為穩,21,20,5.445333195
穩懋,235,181,4.679833383
創惟,13,11,5.505808987
晶同,12,12,5.336701098
同致,77,70,5.198036474
世界,151,121,4.969147575
大江,60,39,5.708680396
等其,24,23,5.43684386
張而,19,16,5.564245258
的大,214,203,4.457483201
量都,12,11,5.415270365
高於,193,165,4.693186428
張中,30,19,5.863741542
獲得,189,160,4.723980652
資及,335,291,4.166674471
及投,36,31,5.507685595
青睞,173,161,4.659831344
資上,118,100,5.056051375
周大,52,45,5.41218193
近張,12,11,5.415270365
張外,131,129,4.786020078
外投,25,17,5.792138613
有外,27,27,5.384375435
超張,417,101,5.942786029
也獲,19,19,5.394173631
信上,25,21,5.572078763
日盛,214,186,4.583982619
盛投,104,94,5.046849386
人林,26,26,5.387660465
期大,134,124,4.8548039
月中,142,129,4.839782578
中旬,67,60,5.278435195
震盪,3022,1632,1.940832738
留意,1168,827,2.962756952
數據,625,468,3.703516471
據公,16,16,5.382005389
國指,82,58,5.48521169
數中,74,74,5.097711074
中國,1945,936,2.893465684
國大,309,242,4.4046693
數等,20,19,5.446905415
選股,417,355,3.966528491
操作,1293,882,2.879947354
上可,124,121,4.835413757
意具,15,15,5.3745581
具題,52,49,5.311734441
基期,249,206,4.523893941
月初,115,106,4.960189599
即將,398,357,3.935554381
將登,45,41,5.394324415
無人,40,38,5.376193373
人機,25,25,5.390505034
機電,132,125,4.833779199
電動,255,189,4.665091461
車等,56,54,5.258711421
趨勢,791,538,3.567342141
概念,1369,747,3.195754998
意新,21,21,5.396126996
新品,127,104,5.055723606
品將,15,15,5.3745581
將帶,57,56,5.229893294
動相,48,47,5.292275291
相關,1204,839,2.94682978
供應,800,576,3.456150242
拉貨,195,166,4.690948414
太陽,298,181,4.823027574
能有,91,90,5.005723818
有轉,76,72,5.152567818
轉機,96,91,5.03070949
機題,33,33,5.357884881
傳產,1161,774,3.077778419
產股,551,432,3.780170045
小型,897,589,3.461847638
化股,174,154,4.725992895
股及,284,206,4.59997907
及環,11,11,5.316849281
股新,123,114,4.909885251
者林,18,18,5.391546398
燦澤,50,49,5.278422046
股盤,780,702,3.112026068
盤中,2898,1621,1.946056128
中紅,46,42,5.385864366
殺盤,40,37,5.4063301
日急,12,12,5.336701098
急殺,29,24,5.579060151
跳水,29,26,5.49346201
重挫,552,421,3.822881632
挫逾,67,63,5.218552651
逾點,209,173,4.674324962
點市,33,31,5.426268191
場投,56,53,5.28102091
原本,93,88,5.050667733
待台,35,33,5.412248666
股今,1561,996,2.715873898
今日,4925,1465,2.252709975
日紅,17,17,5.387569862
日可,37,30,5.569895406
情不,35,33,5.412248666
過受,22,20,5.492707777
底的,68,65,5.191988606
的歐,24,23,5.43684386
歐美,338,276,4.25235942
市指,35,32,5.446247494
紛紛,151,142,4.748199222
收黑,312,251,4.354553661
衝擊,375,312,4.116421539
信心,534,412,3.843154897
心中,18,18,5.391546398
中東,26,19,5.716627523
緊張,138,121,4.908032617
情勢,128,109,4.99790615
勢加,85,81,5.089655216
加劇,89,81,5.124353536
日全,366,364,3.865706656
全面,479,408,3.810078793
面走,65,61,5.23366001
走弱,335,291,4.166674471
弱而,21,20,5.445333195
而國,24,24,5.39284945
將於,209,184,4.585438936
於月,252,230,4.368029047
場也,57,57,5.208709356
增添,72,69,5.163383217
定性,146,132,4.826711909
早盤,1355,896,2.865934851
盤加,73,70,5.156315429
加權,2425,1799,1.713905385
數以,125,122,4.829796678
以下,320,301,4.091725539
點開,313,303,4.070458775
開出,564,496,3.565334195
出後,160,154,4.672864725
後出,57,57,5.208709356
勢盤,56,54,5.258711421
中重,19,19,5.394173631
重跌,26,23,5.516246957
跌超,74,55,5.467466184
超過,1259,814,3.014703287
過點,129,115,4.93095482
點預,45,44,5.312953518
估成,49,49,5.261262732
