,NewDate,post_time,title,content
4454,30,2016/2/22 10:30,《電機股》倒車攝影有看頭，朋程衝逾8年新高,朋程 (8255) 於去年底入股瑞柯科技，跨人倒車攝影領域，成果可望自今年逐漸顯現，在朋程協助下，瑞柯科技今年營收可望較去年數倍成長，並力拼全年損益兩平，隨著安全輔助駕駛需求增溫，且瑞柯科技已是台灣豐田(Toyota)部分車款供應商，朋程預估，倒車攝影產品3年內可望佔公司業績10%到15%，在業績看俏下，朋程今天股價強勢大漲，以還原後股價來看，創下2007年10月19日以來新高。<BR> 安全輔助駕駛需求湧現，倒車攝影及環車影像需求激增，尤其是美國政府力推2018年時4.5噸以下新車將強制安裝倒車攝影等，以美國每年約1700萬台新車銷售量，倒車攝影鏡頭需求相當驚人，看好倒車攝影鏡頭成為汽車標準配備，朋程於去年底入股車用倒車影像模組廠－瑞柯科技，取得40%股權，並拿下台灣豐田(Toyota)部分車款的3年訂單，正式跨入倒車攝影領域。<BR> 去年瑞柯科技合併營收約新台幣2500萬元，由於朋程在車用零組件市場關係良好，在朋程協助下，瑞柯科技可望快速拓展客戶，法人預估，瑞柯科技今年合併營收可望上看1億元到1.3億元，較去年數倍成長，瑞柯科技亦將力拼今年損益兩平，隨著安全輔助駕駛需求增溫，朋程預估，倒車攝影產品3年內可望佔公司業績10%到15%。<BR> 朋程在全球車用發電機二極體的市佔率穩定攀高，去年全球市佔率已達51%，為全球第一大廠，第二名及第三名則為日系廠商，德國Bosch則已滑落至全球第4名。<BR> 儘管2015年受到歐元匯率重貶影響，但朋程去年合併營收達35.48億元，年成長約2%，仍創下歷年新高，獲利亦同步攀高，每股盈餘逾8元。<BR> 朋程1月合併營收為3.19億元，月增7.05%，年增4.94%。<BR> 展望今年，朋程副董事長謝台寧認為，在原物料價格維持低檔、新台幣匯率貶值，以及新產品穩壓調節器IC可望在6月到7月量產出貨下，今年獲利將有大幅度的成長空間。
4544,31,2016/2/23 07:04,【金屬盤後】金價4天來首次挫,（中央社台北2016年2月23日電）國際金價4個交易日來首次挫跌，主要因全球股市和原油價格上揚，侵蝕黃金的避險需求。<BR>T&K期貨選擇權公司（T&K Futures & Options）總裁史密斯（ Michael Smith）表示，「對一些投資人來說，情況沒那麼遭，因此他們退出黃金部位...股市和油價上揚，加上美元指數走升。這三項因素加在一起，對金價是利空。」<BR>紐約4月期金收盤下滑1.7%，每盎司收在1210美元。紐約金價前3個交易日計漲1.9%。除了紐約金價下跌，其他如白銀、鈀金和白金期貨也挫跌<BR>國際鋅價在產量減少，全球供給緊俏下，創下去年10月以來高點，進入牛市。在Glencore Plc和NyrstarNV去年宣布減產對抗價格下滑後，鋅價自1月觸及的6年低點，彈漲超過20%。<BR>多倫多道明證券公司（TD Securities）資深商品策略師德拉戈希斯（Mike Dragosits）表示：「鋅擁有最有利的供需平衡之一，漲勢亮麗不令人意外。」<BR>倫敦金屬交易所期鋅上揚2.1%，每噸報1781美元，自1月12日收盤低點迄今回漲超過20%，符合一般多頭市場的定義。<BR>倫敦和紐約期銅都上揚。倫敦鋁價和鎳價同漲。鉛價和錫價齊跌。
4630,31,2016/2/23 15:15,《集中市場》「浩」劫難擋，三大法人賣超5億元,油價勁揚帶動能源股走高，周一歐美股市全面大漲，亞股今日漲跌互見，台股開高震盪後一度翻黑，多空於8320點附近僵持，惟生技股無懼浩鼎 (4174) 連吞兩根跌停出現勁彈，配合鋼鐵股全面大漲，終場加權指數上漲7.96點為8334.64點，成交值增為784.18億元。今日外資買超11.6023億元，投信買超0.1666億元，自營商賣超16.8145億元，三大法人賣超5.04億元。<BR> 電子股方面，權值股漲跌互見，台積電 (2330) 、台達電 (2308) 、和碩 (4938) 弱勢整理，大立光 (3008) 、友達 (2409) 、群創 (3481) 、聯發科 (2454) 聯袂走揚；陸系大廠華為今年智慧型手機出貨看增30％，供應鏈可望吃香喝辣，敦泰 (3545) 亮燈漲停，華晶科 (3059) 、矽創 (8016) 跟進大漲。傳產股方面，鋼鐵股受到國際鐵礦砂價格反彈，中鋼 (2002) 周四開出的第二季內銷盤價可望開漲，今日噴出大漲逾4%，帶動新光鋼 (2031) 攻上漲停，中鴻 (2014) 、東鋼 (2006) 、燁輝 (2023) 攜手勁揚，拉升鋼鐵股指數飆漲4%，成今日多頭主將；生技股指標浩鼎 (4174) 續吞第二根跌停，惟預期準總統蔡英文今日參訪生醫業可望釋出利多，其餘個股喜上眉梢，台微體 (4152) 亮燈漲停，健亞 (4130) 、智擎 (4162) 攜手攻高，中裕 (4147) 獲多頭力挺擺脫跌停厄運，逆轉收紅近4%。金融股表現穩健，類股指數小幅收紅。<BR> 焦點股方面，樂陞 (3662) 躍居索尼PlayStation VR正式軟體開發商，歡慶漲停。浩鼎 (4174) 乳癌新藥解盲未過關，董座張念慈表示OBI-822臨床療效非常確定，有信心打國際競賽，仍苦吞第二根跌停，委賣高掛1.3萬張。盛達 (3027) 搶攻北美市場再下一城，旗下M2M產品通過美國AT＆T認證，今日帶量飆漲9%。東陽 (1319) 三大利多齊發，元月獲利倍增，每股稅前淨利達0.6元，外資連四日買超逾4000張，股價強彈半根停板，站上波段高峰。振維 (3520) 董座涉普萊普雷訴訟遭搜索，公司表示表營運一切正常，股價守在平盤。智伸科 (4551) 開放融資券交易首日獲買盤追捧，強攻上市來新高價。胡連 (6279) 受惠吉利汽車長單、新電動車產品及中國市場復甦，前景一片看好，獲外資調升目標價至200元，今日呈現價量俱揚榮景。 <BR> 外資今日買超11.6023億元，5日RSI為85.09，10日RSI為72.38，9日K值為88.41，9日D值為88.91，20日乖離率為3.65。台股受惠鋼鐵、生技兩族群領軍攻堅，加上金融股成功穩盤，化解部分電子股拉回壓力，使加權股價指數持穩趨堅，年後仍維持驚驚漲走勢。分析師表示，台股近兩日呈現量縮整理架構，主要在消化短線波段漲幅已大的獲利回吐浮額，技術指標5日線向上穿越季線，且月線有機會與季線形成黃金交叉，對盤勢在近日整理後續攻具正向，後市不必過分看淡。操作上，看好半導體族群，代工、封測供應鏈及IC設計族群逢低也可留意；未來新政策概念股的節能、生技等亦可望成為多頭指標。 (編輯整理：龍彩霖)
4751,32,2016/2/24 14:16,【台股盤後】猴年首跌 失守8300,（中央社記者張建中台北2015年2月24日電）台股開低震盪向上，盤中由紅翻黑，終場收跌51.78點，猴年開紅盤來首度下挫，指數失守8300點關卡，以生技、電子及金融類股表現相對弱勢。<BR>台股加權指數收在8282.86點，跌51.78點，跌幅約0.62%，成交值約新台幣722.75億元。<BR>浩鼎 (4174) 解盲後股價連2個交易日重挫跌停，今天開盤雖未再跌停，以下跌42元開出，跌幅7.6%，不過，隨後在賣壓出籠下，股價再度打落跌停，失守500元關卡，達497元，並拖累整體生技股指數重挫1.08%。<BR>電子股方面，晶圓代工廠台積電 (2330) 雖然16奈米製程接單傳捷報，手機晶片客戶展訊與聯發科 (2454) 16奈米晶片將陸續於今年量產，但股價不漲反跌，終場收跌1.5元。<BR>除台積電外，股王大立光 (3008) 、聯發科 (2454) 、日月光 (2311) 、矽品 (2325) 及華碩 (2357) 等權值股也同步走跌，致電子類股指數收跌0.86%。<BR>金融股同樣表現弱勢，類股指數收跌0.69%。<BR>傳統產業股則漲跌互見，南亞 (1303) 今年可望有華亞科 (3474) 釋股業外收益挹注，激勵股價表現強勁，收漲1.1元，帶動塑膠類股指數走揚，漲0.59%。<BR>航運類股受惠國際油價走跌利多，同樣有不錯表現，類股指數漲0.35%。<BR>分析師王兆立表示，台股短線將呈區間震盪格局，將以個股表現為主。
4753,32,2016/2/24 14:50,台股盤後－油價挫蘋果跌 面板獨紅 跌51點 5日線失守,受到國際油價走跌，蘋果股價也因為隱私權因素而遭到川普呼籲棄用蘋果iPhone，台股早盤雖然一度走高，不過短線獲利賣壓也跟著湧現，加上生技指標股浩鼎也在盤中再度被摜壓到跌停，使得指數跌幅持續擴大，僅見面板股友達及群創力撐收紅，盤中跌破5日線及半年線，終場指數下跌51.78點，以8282.86點作收，5日線8316點宣告失守，成交值則續縮到722.76億元。<BR>櫃檯指數更是受到浩鼎重挫拖累，加上光電、鋼鐵、文創等類股也走跌，終場指數大跌1.75點，以126.93點作收，跌破5日線128.29點，成交值則是逆勢擴大到338.42億元。<BR>台股各大類股今天依然呈現漲跌互見，其中食品股今天下跌1.4%，表現最為弱勢，電子零組件、生醫、半導體、紡纖、通信網路、電機機械、電腦設備、化學生醫、玻陶、化學、金融、造紙、鋼鐵、建材營造、汽車、觀光、資訊服務等均收黑。<BR>至於表現相對強勁的則是油電燃氣類股，漲幅達1%，塑膠、航運、貿易百貨、橡膠、光電、電子通路、水泥等則逆勢收紅。<BR>蘋果昨天股價跌破95美元，也影響了蘋概股走勢，包括瑞儀、新日興、正達、穩懋、台達電、F-臻鼎、晶技、聯發科、F-鎧勝、台郡、和碩、台積電、嘉聯益、日月光、鴻海、F-TPK、大立光等均收黑，僅正崴、可成、F-譜瑞、F-GIS等相對抗跌。<BR>另外生技指標股浩鼎開盤則是一度打開跌停，不過盤中受到大盤走弱拖累，股價又被打入跌停，所幸跌停委買張數僅約2000張左右，然而成交量卻暴增到6600多張，創下浩鼎歷史第3高成交量紀錄，明天能否正式打開跌停值得觀察。<BR>受到浩鼎出現第3根跌停衝擊，生技股今天表現也相對疲弱，包括F-金可、中裕、科懋、佰研、太醫、展旺、智擎、健亞、永昕等也持續收跌。<BR>至於鋼鐵股今天也見到短線獲利賣壓回吐，包括燁興、中鋼構、中鴻、彰源、聚亨、新鋼、允強、第一銅、燁輝均收黑，至於中鋼雖然也下跌，但仍力守20元大關。<BR>顧德投顧分析師顧奎國表示，台股今天拉回整理並不意外，主要是因為台股上漲無量，下跌卻有量，不過台股拉回幅度應不會太大，先觀察2月18日的跳空缺口能否有守。基本上，台股要止跌回穩並向上衝高，上漲要有量才是關鍵，就目前來看，成交值必須擴大到900億元附近時，台股才會出現較明顯的反彈，否則還是會以盤整為主。
4776,32,2016/2/24 16:04,台股下跌51.78點 收8282.86點,（中央社台北2016年2月24日電）加權指數今天開盤為8332.66點，盤中最高8382.25點，最低8264.39點，收盤指數8282.86點，下跌51.78點，成交值為新台幣722.75億元；不含金融保險股指數7053.60點，下跌43.42點。<BR>收盤時上漲家數 1921檔，下跌 3332檔，持平者344檔。<BR>成交量前10名個股依次為：友達 (2409) 、滬深2X（00637L）、元石油（00642U）、群創 (3481) 、上証2X （00633L）、T50反1 （00632R）、中鋼 (2002) 、彩晶 (6116) 、昱晶 (3514) 、英業達 (2356) 。<BR>成交值前10名個股依次為：台積電 (2330) 、上証2X （00633L）、大立光 (3008) 、鴻海 (2317) 、友達 (2409) 、元石油（00642U）、聯發科 (2454) 、可成 (2474) 、滬深2X（00637L）、中華電 (2412) 。<BR>市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、中華電 (2412) 、台塑化 (6505) 、南亞 (1303) 、台塑 (1301) 、國泰金 (2882) 、台化 (1326) 、富邦金 (2881) 、聯發科 (2454) 。<BR>外資賣超8.17億元、投信賣超6.09億元、自營商（自行買賣）賣超2.52億元、自營商（避險）賣超20.77億元。
5031,34,2016/2/26 17:52,元大期貨台股期指盤後－多頭列車未熄火 買盤攻高不示弱,"鉅亨台北資料中心◆盤勢分析<BR>週四油價續揚，催動美股連2日攻高，歐台期也上漲27點，給予週五台指期向上發展的動能；期指早盤直接開高約50點，甚至一度站到8400點之上，但空方已在整數關卡附近佈下防線，讓期指迅速遭到壓回，8400點有如曇花一現，此外鴻海和夏普之間的併購案也出現了問題，雙方的協議將延後簽署，後續發展恐有變數，讓鴻海和群創等權值股股價拉回修正，連帶使台指期漲幅收斂，不過多方也未有示弱，期指中午後逐步回升，終場收漲0.64%，反應多方進場意願仍強，多頭的格局依然持穩。<BR>觀察法人籌碼變化，三大法人合計買超現貨86.1億元，其中外資買超91.6億元，投信買超4億元，自營商賣超9.5億元；由台指期留倉淨部位來看，外資逢高減碼淨多單4,110口，來到33,721口，自營商則減碼淨空單1,770口至3,796口，土洋法人再次對作；三大法人合計淨多單減少2,453口，剩下20,822口，儘管多單水位下滑，整體法人偏多的方向並沒有太大改變。<BR>就技術面來看，金融和非金電期週五表現強勢，呈現平盤上震盪的格局，電子期雖受鴻海下挫的影響，尾盤也強勢由黑翻紅，買盤逢低承接的意願也不弱；台指期日線收十字型，但留有較長的下影線，收盤價更是續寫今年高點，反應多方依然佔有優勢，後市展望還是值得期待。"
5076,34,2016/2/27 13:45,金價2月飆漲 可望創4年來最大單月漲幅,（中央社記者蔡怡杼台北2016年2月27日電）全球市場波動、美國聯準會可望暫緩升息，金價2月迄今上漲9.3%，有望創4年來單月最大漲幅。<BR>國際油價及商品價格的反彈一度降低市場對黃金避險需求，但資金持續流入黃金ETF，且好壞不一的經濟數據降低聯準會升息預期，金價持續在1220美元上下整理。<BR>紐約近月黃金26日下跌18.4美元，收1220.4美元，跌幅1.49%，週線下跌0.84%，不過，月線自1月上漲5.3%後，2月迄今已漲9.3%，有望創2012年以來單月最大漲幅。<BR>富蘭克林證券投顧表示，若市場對全球景氣及股市擔憂沒有放緩，且聯準會再延後升息，黃金買盤可望持續，在金價不跌破1200美元支撐下，有機會再上看1285美元至1300美元的水準。<BR>此外，法人也提醒，金價短線漲幅已大，若風險偏好氣氛回升，金價可能容易出現大幅波動，長線走勢仍要觀察美國聯準會貨幣政策動向、美元指數、通膨、及投機性部位持有黃金意願的變化。
5265,35,2016/3/1 21:11,**台股店頭市場01日信用交易融券張數120180張較26日- 578張,鉅亨台北資料中心**台股店頭市場01日信用交易融券張數120180張較26日- 578張
5370,36,2016/3/2 16:08,《經濟》景氣續低緩，連亮8藍燈,國發會公布，105年1月景氣綜合判斷分數為14分，與去年12月同分。對策信號連續第8個月呈現藍燈，景氣仍處於低緩狀態。<BR> 國發會表示，1月景氣9項構成項目燈號均與去年12月相同，除貨幣總計數M1B維持綠燈相對較佳外，其餘均為黃藍燈或藍燈，表現並不理想。景氣領先、同時指標仍未止跌，顯示國內經濟力道疲弱。<BR> 展望未來，全球經濟慢速拖行，今年經濟成長率恐僅與去年相當，且中國大陸等新興國家成長幅度低於去年，難免影響我國出口復甦的時程與力道。民間投資方面，半導體及相關業者高階產能投資可望續增，加以航空業者擴大購機等因素，投資動能應可維繫；民間消費受景氣復甦緩慢影響，民眾購買意願及消費信心略為減弱，後續應密切觀察。<BR> 整體而言，雖然景氣復甦緩慢，但仍可望漸入佳境，短期政府將從擴大公共支出、活絡內需著手，長期將打造產業與出口新模式，以促進經濟穩健成長。
5391,36,2016/3/2 21:36,ADP公布 美國私人企業2月新增就業21.4萬人 預估為18.5萬人,鉅亨網編譯郭照青ADP公司週三公布，美國私人企業2月新增就業為21.4萬人，溫和加速，1月新增為19.3萬人。<BR>接受MarketWatch調查的分析師平均預估，私人企業2月新增就業為18.5萬人。<BR>私人企業1月新增就業人數由20.5萬人修正為19.3萬人。<BR>週五，美國勞工部將公布2月就業報告，包含政府部門與私人企業的新增就業人數。分析師將利用ADP數據，評估該就業報告。<BR>接受MarketWatch調查的分析師平均預估，美國2月非農業就業人數增加19.8萬人，1月公布值為增加15.1萬人。
5848,39,2016/3/7 18:05,聯發科2月營收132億元 1年來新低 3月有機會挑戰1月高峰,鉅亨網記者蔡宗憲 台北手機晶片聯發科 (2454) 今(7)日公布2月營收，達132億元，較1月下滑37.9%，較去年同期則成長36.9%，累計前2月營收達345.7億元，較去年同期成長27.39%；以聯發科給的第1季財測營收目標525-574億元計算，聯發科第1季營收若可達高標，3月營收不排除超越1月高峰。<BR>聯發科今日公布2月營收，受工作天數減少因素影響，加上客戶端提前在1月拉貨，因此營收較1月明顯修正，月減幅度達37.9%，不過由於合併立錡營收，因此仍較去年同期成長22%。<BR>聯發科預期第1季營收受到淡季工作天數不足因素影響，約較第4季減少7-15%，估達525-574億元，1月營收衝上213億元，創歷史第三高紀錄，2月營收明顯修正，但前2月營收已達345.7億元，距離第1季財目標僅有179-228億元的缺口，可預期3月營收將明顯回升，若第1季要挑戰高標，3月營收不排除有機會再挑戰1月高峰。<BR>聯發科對今年營收仍正面看，估年營收有機會較去年成長1成，其中智慧型手機與物聯網相關成長有2為束縛度，數位家庭微幅成長。
6093,41,2016/3/9 17:44,台股跌30.20點 收8634.11點,（中央社記者2016年3月9日電）加權指數今天開盤為8649.10點，盤中最高 8657.17點，最低 8588.41點，收盤指數 8634.11點，下跌 30.20點，成交值為新台幣866.30億元；不含金融保險股指數7337.72點，下跌23.58點。<BR>收盤時上漲家數 2225檔，下跌 3374檔，持平者471檔。<BR>成交量前10名個股依次為：群創 (3481) 、滬深2X（00637L）、上証2X（00633L）、友達 (2409) 、T50反1（00632R）、中鋼 (2002) 、元大金 (2885) 、中壽 (2823) 、宏達電 (2498) 、中信金 (2891) 。<BR>成交值前10名個股依次為：宏達電 (2498) 、台積電 (2330) 、大立光 (3008) 、上証2X （00633L）、鴻海 (2317) 、群創 (3481) 、聯發科 (2454) 、可成 (2474) 、中鋼、 (2002) 、F-TPK (3673) 。<BR>市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 （2412 ）、南亞 (1303) 、台塑 (1301) 、國泰金 （2882 ）、台化（1326 ）、富邦金 (2881) 、聯發科 （2454 ）。<BR>外資買超28.64億元、投信賣超6.33億元、自營商（自行買賣）賣超0.90億元、自營商（避險）賣超0.89億元。
6109,41,2016/3/9 23:04,前Fed官員說 勞工市場 並不如就業報告那般強勁,鉅亨網編譯郭照青前聯準會(Fed)理事華許(Kevin Warsh)週二說，美國勞工市場並不如失業率所顯示的那般強勁。<BR>美國2月失業率為4.9%，平了八年低點。<BR>在對國家企業經濟協會(NABE)發表演說時，華許說，失業率下降，是因主要工作年齡男性的勞動力參與率下降，生產力大幅降低，及溫和的經濟成長所導致。<BR>他指出，勤奮的美國人收入停滯，因而不斷思索量化寬鬆(QE)的財富效果何時才會降臨到他們身上。<BR>這些勞工不斷增加預防性的儲蓄，因為他們知道，當經濟下滑，他們受創將會最重。<BR>華許說：「我認為就是這些因素，讓2016年的政治，對政府統計數據爭議不斷。Fed卻在政策會議中，形容勞工市場已接近充份就業。」
6305,43,2016/3/11 14:21,PIMCO持有美債創近一年新高，該準備脫手了？,MoneyDJ新聞 2016-03-11 14:21:50 記者 陳瑞哲 報導<BR>太平洋資產管理（PIMCO）周四公布資產配置報告顯示，截至2月底止，該基金公司持有美國政府類公債比重來到35%，創下逾一年新高。<BR>儘管如此，PIMCO操作策略近期似乎已作修正，因為該公司全球債券首席投資長Mark Kiesel月初曾建議投資人賣美債，並同時買進美國公司債，主要理由是美國經濟避開衰退的機率頗高。<BR>美國10年期公債殖利率周四尾盤上升至逾一個月新高的1.927%，剛好反映投資人避險的需求降溫。<BR>Kiesel還指出，與歐洲、日本負利率相比，美國資產提供報酬率較高，這將吸引外國投資人進場。至於他特別看好公司債的原因是，報酬較公債高而風險又較美股稍低，正合投資人胃口。<BR>基金追蹤機構理柏（Lipper）週司公布數據顯示，截至3月9日止當周，總部位於美國的股票型基金公司共吸金46億美元，終止之前連續9週流出的紀錄。在此同時，美債基金遭投資人提領3.26億美元。<BR>＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。
6307,43,2016/3/11 14:39,原油過剩有解？油錢便宜 美開車需求將一路旺到夏季,MoneyDJ新聞 2016-03-11 14:39:32 記者 郭妍希 報導<BR>雖然目前正值開車出遊的淡季，但美國最新數據顯示卻汽油需求意外飆高，讓長期關注市場供需的專家大吃一驚，不但坦言低估需求，還認為照這樣下去，等夏天旅遊旺季到來時，困擾油市多時的過剩庫存或能紓解。<BR>根據美國能源資訊局(EIA)3月9日公布的最新數據，截至3月4日為止當週，原油庫存雖跳漲390萬桶、比市場原先預估的數字高出近90萬桶，但汽油、柴油庫存的降幅卻也超出預估。<BR>根據報告，上週美國汽油庫存萎縮了450萬桶，包含柴油在內的蒸餾油庫存也減少110萬桶，減幅遠高於華爾街日報調查的市場預期150萬桶、50萬桶。<BR>EIA數據並顯示，過去四週期間，衡量需求的主要指標──車用汽油消費量(motor gasoline product supplied)年增了7%，來到每日逾930萬桶。<BR>MarketWatch 10日報導，GasBuddy.com資深石油分析師Patrick DeHaan表示，過去幾週的汽油需求讓人印象深刻，或許大家都低估了需求，雖然他原本就預測夏季的需求會相當強，但最新的庫存報告還是讓他大吃一驚。<BR>Schneider Electric能源主編間產品經理人Brian Milne則說，在2007年、2008年的此時，美國汽油需求的成長速度沒有現在這麼快，尤其2007年全年度的汽油需求還是歷史新高，凸顯當前的需求有多麼驚人。他說，通常1-2月是汽油需求的淡季，只有在煉油廠結束維修、氣候逐漸回暖後需求才會開始增溫，但今年油錢變得超便宜，使人們更加樂意開車。<BR>GasBuddy.com網站顯示，美國加油站的汽油均價在10日下午來到每加侖1.867美元，比去年同期大減逾58%。不過，隨著需求上揚，Milne預估汽油均價會在5月的陣亡將士紀念日(Memorial Day)前一路攀升至每加侖2美元以上，而強勁的汽油需求絕對能幫忙紓解油市的過剩困境。<BR>＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。
6535,45,2016/3/15 07:56,3/14中央銀行公開市場操作資訊,"一、105年3月14日本行定期存單到期金額為5,338.30億元，發行金額為5,534.30億元，天期如次：<BR>(一)28天期申購利率0.730%金額5,200.30億元<BR>(二)91天期申購利率0.790%金額28.00億元<BR>(三)182天期申購利率0.910%金額6.00億元<BR>(四)2年期平均利率0.436%金額300.00億元<BR>二、自105年3月1日至14日，本行定期存單到期金額總計為32,395.70億元，發行金額為32,657.20億元，在此期間淨增加261.50億元。<BR>三、截至105年3月14日止，本行定期存單未到期餘額為74,144.90億元。"
6587,45,2016/3/15 11:04,【台股盤中】熄火開跌 8700不保,（中央社記者江明晏台北2016年3月15日電）美國FOMC利率決策會議在即，台股14日翻越年線8715點，指數今陷震盪，加上近期強勢股宏達電 (2498) 等漲多休息，台股盤中指數跌約66點，一口氣跌破年線與8700點大關。<BR>美股走勢呈現小漲小跌，此時油價下挫，投資人正觀望聯邦準備理事會本週貨幣政策會議的結果；歐股本週開盤走強，法蘭克福DAX 30指數盤中漲破萬點心理關卡，投資人關注各央行可能動向。<BR>美國聯邦公開市場委員會(FOMC)預訂台灣時間17日凌晨2時，公布最新利率決議，是否升息受市場矚目。<BR>約10時49分，台股加權指數來到8679.29點，下跌68.61點，跌幅0.78 %，成交值新台幣585.56億元。<BR>近期漲勢凌厲的宏達電今天上沖下洗，早盤大漲近9%，至136.5元的創波段新高後，股價出現戲劇性拉回，挫逾5%，最低至119元。<BR>聯發科 (2454) 、大立光 (3008) 今天早盤上漲，盤中也出現回跌走勢，聯發科低點來到252.5元，跌幅近3%，大立光跌幅逾5%，至2485元。<BR>國泰證券期貨顧問處協理簡伯儀表示，台股短線翻越年線，但壓力還在，加上強勢股今天出現漲多爆量壓低狀況，台股過年線後出現明顯整理走勢，短線大盤將在8700點附近高檔震盪，類股走勢調整，但偏多趨勢沒變。
6610,45,2016/3/15 14:02,【台股盤後】大跌136點 力守8600點,（中央社記者江明晏台北2016年3月15日電）美國FOMC利率決策會議在即，台股今天強勢股、蘋概股回檔壓力釋放，早盤指數一路走低，尾盤擴大逾150點，跌破8700點關卡，終場守住8600點大關。<BR>國際股市走勢平穩，美股漲跌互見，但台股今天在蘋概股回檔下，早盤指數一路走低，尾盤擴大逾150點，接連跌破8700點、8600點兩個整數關卡，終場守住8600點大關。<BR>台股加權指數今天收在8611.18點，下跌136.72點，跌幅1.56%，成交金額為新台幣1155.22億元。<BR>觀察盤面焦點，蘋概股包括大立光 (3008) 下跌150元、跌幅5.7%，收2470元；F-TPK (3673) 跌停，收79.4元；鴻海 (2317) 跌1.7元，收82.3元；台積電 (2330) 跌1.5元，收154.5元。<BR>此外，IC設計股聯發科 (2454) 跌12元，收248元；近期軋空秀漲勢凌厲的宏達電 (2498) ，今天上演開高走低大震盪走勢，盤中最高價136.5元與最低價113元跌停相差達23.5元之多，成交量爆出9萬張，成交金額位居台股第一名。<BR>國泰證券期貨顧問處協理簡伯儀表示，台股短線翻越年線約8710，但壓力還在，加上強勢股今天出現漲多爆量壓低狀況，台股過年線後出現明顯整理走勢。<BR>展望後續，簡伯儀表示，週三台指期結算，但軋空股流竄，屬於投機行情，未來搭配3月投信作帳行情，可留意強勁族群。
6637,45,2016/3/15 18:19,台股跌136.72點 收8611.18點,"（中央社2016年3月15日電）加權指數今天開盤為8,745.57 點，盤中最高 8,759.94 點，最低 8,589.41點，收盤指數 8,611.18 點，下跌 136.72 點，成交值為新台幣 1,155.22 億元；不含金融保險股指數7,327.19 點，下跌 112.12 點。<BR>收盤時上漲家數 1,615 檔，下跌 4,460 檔，持平者 218 檔。<BR>成交量前10名個股依次為：滬深2X （00637L）、友達 （2409 ）、群創 （3481 ）、上証2X （00633L）、T50反1 （00632R）、宏達電 （2498 ）、晶電 （2448 ）、元石油 （00642U）、F-TPK （3673 ）、中信金 （2891 ）。<BR>成交值前10名個股依次為：宏達電 （2498 ）、台積電 （2330 ）、F-TPK （3673 ）、聯發科 (2454) 、大立光 （3008 ）、上証2X （00633L）、鴻海 （2317 ）、T50反1 （00632R）、滬深2X （00637L）、可成 （2474 ）。<BR>市值前10名個股依次為：台積電 （2330 ）、鴻海（2317 ）、台塑化 （6505 ）、中華電 （2412 ）、南亞 （1303 ）、台塑 （1301 ）、國泰金 （2882 ）、台化 （1326 ）、富邦金 （2881 ）、聯發科 （2454 ）。<BR>外資買超45.04億元、投信賣超6.01億元、自營商（自行買賣）賣超9.35億元、自營商（避險）賣超49.31億元。"
