gram,TF,DF,TF_IDF
沖證交稅,18,11,5.723989673
台股指數目,18,11,5.723989673
當沖證交稅,18,11,5.723989673
超張自營商,18,11,5.723989673
買超張第名華,18,11,5.723989673
擴廠,29,18,5.723026857
金會,29,18,5.723026857
的銷,29,18,5.723026857
張其次,29,18,5.723026857
月日以來收,29,18,5.723026857
電賣超張第名,29,18,5.723026857
跌點或收,42,25,5.722619871
超億元買超,42,25,5.722619871
較年,40,24,5.722526718
電源,40,24,5.722526718
張最多,40,24,5.722526718
創逾年,40,24,5.722526718
多單加碼口淨,40,24,5.722526718
單加碼口淨多,40,24,5.722526718
加碼口淨多單,40,24,5.722526718
賣超張數張第,55,31,5.722093519
氣候,44,26,5.721666743
蔡英文,44,26,5.721666743
超億元買,44,26,5.721666743
張第名華,38,23,5.721219003
都更,24,15,5.720479112
據中,24,15,5.720479112
富士,24,15,5.720479112
狗年,24,15,5.720479112
類股較,24,15,5.720479112
指數週四,24,15,5.720479112
圓代工市場,24,15,5.720479112
收在點指數,24,15,5.720479112
晶圓代工市場,24,15,5.720479112
收於,46,27,5.71980841
在五日均線之,46,27,5.71980841
業生,78,40,5.718771778
家開,36,22,5.718494494
高個,36,22,5.718494494
房地產,36,22,5.718494494
黎方國,36,22,5.718494494
市新高,36,22,5.718494494
正買超張,36,22,5.718494494
元以元作收,48,28,5.717163945
進金,57,32,5.71648536
類股下跌,128,55,5.71440121
櫃股,34,21,5.714108138
約價,34,21,5.714108138
包行情,34,21,5.714108138
紅包行情,34,21,5.714108138
美股周三,34,21,5.714108138
至指數,50,29,5.713834473
正鴻,27,17,5.711253243
年迄,27,17,5.711253243
年美元,27,17,5.711253243
封裝,86,43,5.710452236
中秋,52,30,5.709906363
單口淨部位多,92,45,5.708931346
口淨部位多單,92,45,5.708931346
繼弘,32,20,5.707760269
廖繼弘,32,20,5.707760269
收高點或至指,32,20,5.707760269
高點或至指數,32,20,5.707760269
超為,43,26,5.700056224
工程,82,42,5.699977327
人關,22,14,5.699846533
殖息,22,14,5.699846533
泰國,22,14,5.699846533
口空,22,14,5.699846533
外投,22,14,5.699846533
爾的,22,14,5.699846533
王淑,22,14,5.699846533
金買進,22,14,5.699846533
富士康,22,14,5.699846533
外資持股,22,14,5.699846533
日線及日線,22,14,5.699846533
以來收盤新高,22,14,5.699846533
張最,41,25,5.699789521
多單增至,41,25,5.699789521
名華,45,27,5.699304334
日收盤價,45,27,5.699304334
間價,30,19,5.699080659
東芝,30,19,5.699080659
型基金,30,19,5.699080659
紅持續,30,19,5.699080659
週二收,30,19,5.699080659
以來收盤,30,19,5.699080659
目標價元,30,19,5.699080659
機制,39,24,5.698345346
上漲機率,39,24,5.698345346
買超張第名中,39,24,5.698345346
超最,63,35,5.69770092
元買超,63,35,5.69770092
業產,47,28,5.697667677
減半,19,12,5.697475
萬餘,19,12,5.697475
期應,19,12,5.697475
台積公,19,12,5.697475
國泰投,19,12,5.697475
買中心,19,12,5.697475
積電去年,19,12,5.697475
櫃買中心,19,12,5.697475
雄概念股,19,12,5.697475
台積電去年,19,12,5.697475
台積電明年,19,12,5.697475
新高元大漲,19,12,5.697475
高雄概念股,19,12,5.697475
幅收在點指數,19,12,5.697475
單口空單未平,19,12,5.697475
口空單未平倉,19,12,5.697475
元股票,68,37,5.696852034
重建,25,16,5.695876335
股部份,25,16,5.695876335
投資金,25,16,5.695876335
在點指數,25,16,5.695876335
以來收盤新,25,16,5.695876335
日外資賣超,25,16,5.695876335
創逾年新高,25,16,5.695876335
漲點漲幅以點,25,16,5.695876335
點漲幅以點作,25,16,5.695876335
量較,37,23,5.695533737
正買超,37,23,5.695533737
流動性,37,23,5.695533737
奈米晶,37,23,5.695533737
點跌幅收在,37,23,5.695533737
增至口,49,29,5.695259702
工業生產,49,29,5.695259702
名依序為,73,39,5.693362427
五日均線之,51,30,5.692177152
均值,35,22,5.691125796
浩鑫,35,22,5.691125796
前二,70,38,5.689220213
將成長,53,31,5.68850297
買張,28,18,5.687606613
工市場,28,18,5.687606613
中秋節,28,18,5.687606613
漲元以元,28,18,5.687606613
張自營商,28,18,5.687606613
漲幅以點作收,28,18,5.687606613
人行,33,21,5.684843315
遭賣,33,21,5.684843315
每股淨,33,21,5.684843315
公告月,33,21,5.684843315
買超為億元,33,21,5.684843315
第名為,102,49,5.683981379
協定,67,37,5.683911501
億股,62,35,5.683557401
前五,277,85,5.680166222
成份股,80,42,5.678999395
電買超張第名,44,27,5.678339453
環保,42,26,5.677937175
單增至,42,26,5.677937175
承諾,46,28,5.677752101
倉口,69,38,5.676724458
漲機率,40,25,5.676395402
投顧提,40,25,5.676395402
指數為點上漲,40,25,5.676395402
數為點上漲點,40,25,5.676395402
為點上漲點成,40,25,5.676395402
信證,31,20,5.676344895
經營權,31,20,5.676344895
中來到,31,20,5.676344895
將公佈,31,20,5.676344895
週四收,31,20,5.676344895
經濟增,31,20,5.676344895
盤中來到,31,20,5.676344895
上漲幅度,31,20,5.676344895
電賣超張第,31,20,5.676344895
比特幣概念股,31,20,5.676344895
子時報,48,29,5.676301918
電子時報,48,29,5.676301918
在五日均線,48,29,5.676301918
商店,23,15,5.676057031
江申,23,15,5.676057031
續是,23,15,5.676057031
餘張,23,15,5.676057031
認購,23,15,5.676057031
可夢,23,15,5.676057031
寶可夢,23,15,5.676057031
證交稅,23,15,5.676057031
不利多方,23,15,5.676057031
高元大漲,23,15,5.676057031
為區間震盪,23,15,5.676057031
休兵,59,34,5.674598741
成交值億元周,50,30,5.674096845
交值億元周線,50,30,5.674096845
名依序,74,40,5.673563156
點的點,38,24,5.673535816
製程技術,38,24,5.673535816
積公,20,13,5.673183115
買中,20,13,5.673183115
深度,20,13,5.673183115
用汽車,20,13,5.673183115
電明年,20,13,5.673183115
趨勢有,20,13,5.673183115
指數週二,20,13,5.673183115
產業分析師,20,13,5.673183115
抱股,26,17,5.672752292
為人,26,17,5.672752292
最旺,26,17,5.672752292
資金額,26,17,5.672752292
線及日線,26,17,5.672752292
創逾年新,26,17,5.672752292
多方趨勢,26,17,5.672752292
漲點漲幅以,26,17,5.672752292
點漲幅以點,26,17,5.672752292
漲元以元作收,26,17,5.672752292
電買進千股賣,26,17,5.672752292
指數收低,88,45,5.671745214
萬人,61,35,5.669183897
餐飲,36,23,5.669144677
岸關係,36,23,5.669144677
張投信,36,23,5.669144677
日報導,36,23,5.669144677
兩岸關係,36,23,5.669144677
跌點跌幅收在,36,23,5.669144677
漢成,29,19,5.665207053
漲元以,29,19,5.665207053
黃漢成,29,19,5.665207053
等股價都,29,19,5.665207053
漲幅以點,29,19,5.665207053
指數下跌點或,29,19,5.665207053
祥生,56,33,5.663813964
儲祥生,56,33,5.663813964
中來,34,22,5.662963692
買超為,34,22,5.662963692
上漲收元,34,22,5.662963692
瓶頸,17,11,5.660986228
紀念,17,11,5.660986228
回購,17,11,5.660986228
下跌下,17,11,5.660986228
等走強,17,11,5.660986228
會議結,17,11,5.660986228
買進評,17,11,5.660986228
近十年,17,11,5.660986228
寫年多,17,11,5.660986228
上延續,17,11,5.660986228
跌下跌,17,11,5.660986228
賣超張台,17,11,5.660986228
就業人口,17,11,5.660986228
奈米晶片,17,11,5.660986228
等股價都有,17,11,5.660986228
當沖,78,42,5.65749032
股第二,45,28,5.657398786
元來,47,29,5.656944995
股第三,47,29,5.656944995
買超萬張,47,29,5.656944995
平盤以,43,27,5.65689258
指數漲點或,43,27,5.65689258
急彈,41,26,5.655285087
為點上,41,26,5.655285087
算日,32,21,5.654677897
停交易,32,21,5.654677897
以來收,32,21,5.654677897
暫停交易,32,21,5.654677897
特幣概念,32,21,5.654677897
為月日以來,32,21,5.654677897
比特幣概念,32,21,5.654677897
期轉為正價差,32,21,5.654677897
餘為,24,16,5.653764829
清明,24,16,5.653764829
交稅,24,16,5.653764829
板塊,24,16,5.653764829
資持股,24,16,5.653764829
